LocationID,Portfolio,State,County,PostalCode,Building Value,Other Value,Contents Value,Time Element Value,Occupancy Code,Construction Code,Stories,Year Built,AAL
1,1,CO,Adams,80640,466981,83008,540206,162719,ATC-02,Wood Frame,1,1951,12629.37312
2,1,NY,Albany,12023,64173,0,58981,33734,ATC-01,MH00,1,1979,1863.82944
3,1,NY,Allegany,14895,1979933,37751,693251,1113407,ATC-02,MS00,5+,2002,11014.10496
4,1,NY,Allegany,14711,340721,86796,893703,352242,ATC-01,Wood Frame,1,2015,9639.14112
5,1,PA,Allegheny,15049,770678,14941,563245,112326,ATC-02,WD10,2,1963,8767.14
6,1,PA,Allegheny,15232,1868742,48820,1634365,1239788,ATC-01,MS00,3,1975,18975.1914
7,1,PA,Allegheny,15252,81012,0,183888,74001,ATC-01,MH00,1,2000,3050.109
8,1,TX,Angelina,75969,575115,97887,441856,996207,ATC-01,Wood Frame,2,1988,15199.668
9,1,TX,Archer,76370,622655,49688,378333,960719,ATC-01,WD10,2,2002,9654.696
10,1,PA,Armstrong,15656,355911,18109,583714,511768,ATC-02,MS00,4,1961,7053.6096
11,1,TX,Atascosa,78050,179078,81080,796576,992844,ATC-02,Wood Frame,2,2008,9837.9744
12,1,OH,Athens,45716,979581,14214,996333,445060,ATC-01,Wood,1,1970,20455.5792
13,1,MA,Barnstable,2650,60699,0,380902,38921,ATC-01,MH10,1,1962,6227.56512
14,1,TX,Bastrop,78650,682392,66664,694131,304953,ATC-02,WD10,1,1957,17621.2512
15,1,TX,Bastrop,78659,178976,49436,814457,857888,ATC-02,Wood,2,2008,12773.08704
16,1,MI,Bay,48747,680421,36174,988272,629199,ATC-02,WD00,1,2000,12837.363
17,1,WI,Bayfield,54814,307116,63003,815010,261775,ATC-02,WD00,1,2005,8912.92864
18,1,PA,Bedford,15539,172296,70270,615980,858440,ATC-01,WD10,2,2018,8241.5328
19,1,OH,Belmont,43912,75589,0,46285,33123,ATC-01,MH10,1,2012,1115.9784
20,1,NJ,Bergen,7410,1489476,68566,212336,1678454,ATC-02,MS00,5+,1967,24831.5904
21,1,PA,Berks,19510,788888,35827,1364007,399562,ATC-02,MS00,5+,1980,7764.852
22,1,PA,Berks,19518,232970,19583,793500,216223,ATC-02,WD10,2,2005,6058.9248
23,1,PA,Berks,19605,65231,0,100018,95948,ATC-01,MH00,1,1951,4074.6732
24,1,TX,Bexar,78215,633337,17806,181325,430154,ATC-01,Wood,1,2011,6060.5856
25,1,TX,Bexar,78242,1975592,12116,1850282,1493659,ATC-02,MS00,2,2004,28151.10672
26,1,TX,Bexar,78249,392254,71874,653440,349000,ATC-01,WD10,2,1978,16894.86336
27,1,IL,Bond,62086,751585,87059,470373,396279,ATC-02,Wood,2,1955,11254.9536
28,1,TX,Bosque,76690,920207,67114,919782,922279,ATC-02,WD00,2,2002,16297.24032
29,1,CO,Boulder,80307,313965,52791,128739,379389,ATC-01,WD00,1,2008,5039.33184
30,1,PA,Bradford,18831,79920,0,265069,45832,ATC-01,MH10,1,1993,3517.389
31,1,PA,Bradford,18833,393936,22371,839285,595481,ATC-02,WD00,2,1960,11106.438
32,1,MA,Bristol,2779,211926,38410,385986,679314,ATC-01,Wood,2,1991,8288.5068
